type,jyutping,char
A1111,bi1 li1 baa1 laa1,嗶哩叭啦
A1111,bi1 li1 baa1 laa1,嗶哩吧啦
A1111,ding1 ling1 daang1 laang1,傾呤哐啷
A1111,gi1 li1 gu1 lu1,嘰哩咕嚕
A1111,kik1 lik1 kaak1 laak1,虢礫緙嘞
A1111,kik1 lik1 kaak1 laak1,闃礫緙嘞
A1111,kik1 lik1 kaak1 laak1,𠽤叻𡃈嘞
A1111,kik1 lik1 kaak1 laak1,𠽤嚦𡃈嘞
A1111,king1 ling1 kaang1 laang1,傾呤哐啷
A1111,king1 ling1 kong1 long1,傾鈴哐啷
A1111,pik1 lik1 paak1 laak1,霹靂啪嘞
A1111,ping1 ling1 paang1 laang1,砰鈴嘭唥
A4144,bi4 li1 bek4 lek4,啤哩壁叻
A4144,bing4 ling1 baang4 laang4,乒鈴嘭唥
A4144,bing4 ling1 baang4 laang4,乒鈴𠾴唥
A4144,bing4 ling1 baang4 laang4,砰呤嘭唥
A4144,bing4 ling1 baang4 laang4,砰呤𠾴唥
A4144,bing4 ling1 baang4 laang4,𠹶呤嘭唥
A4144,bing4 ling1 baang4 laang4,𠹶呤𠾴唥
A4144,fi4 li1 fe4 le4,fi li fe le
A4144,fi4 li1 fe4 le4,飛哩啡呢
A4144,gi4 li1 gat6 gat6,嘰哩咕嚕
A4144,gi4 li1 gu4 lu4,嘰哩咕嚕
A4144,ping4 ling1 paang4 laang4,砰呤嘭唥
A4144,ping4 ling1 paang4 laang4,砰呤𠾴唥
A4144,ping4 ling1 paang4 laang4,𠹶呤嘭唥
A4144,ping4 ling1 paang4 laang4,𠹶呤𠾴唥
A4144,si4 li1 soe4 loe4,si li sir lur
A4144,si4 li1 soe4 loe4,噝哩𡄽𠼱
A4163,ding4 ling1 dang6 lang3,椗呤鄧㨢
B1111,mi1 mi1 mo1 mo1,咪咪嚒嚒
B1111,mi1 mi1 mo1 mo1,咪咪嚤嚤
B1111,mi1 mi1 mo1 mo1,咪咪摩摩
B1111,mi1 mi1 mo1 mo1,咪咪摸摸
B1111,zi1 zi1 zaa1 zaa1,吱吱喳喳
B4144,hi4 hi1 hoe4 hoe4,hee hee hur hur
B4144,ji4 ji1 aai4 aai4,咦咿哎哎
B4144,ji4 ji1 ang4 ang4,咦咦ang ang
B4144,ji4 ji1 ang4 ang4,咦咿哽哽
B4144,ji4 ji1 ngo4 ngo4,咦咿哦哦
B4144,ji4 ji1 o4 o4,咦咿哦哦
B4144,zi4 zi1 zam4 zam4,吱吱斟斟
B4166,gi4 gi1 gat6 gat6,嘰嘰咭咭
B4166,gi4 gi1 gat6 gat6,嘰嘰屹屹
B4166,gi4 gi1 gat6 gat6,嘰嘰訖訖
B4166,gi4 gi1 gat6 gat6,嘰嘰趷趷
B4166,gi4 gi1 gat6 gat6,齮齮齕齕
B4444,bing4 bing4 baang4 baang4,砰砰嘭嘭
B4444,bing4 bing4 baang4 baang4,𠹶𠹶嘭嘭
B4444,ping4 ping4 paang4 paang4,砰砰嘭嘭
B4444,ping4 ping4 paang4 paang4,𠹶𠹶嘭嘭
B4444,zi4 zi4 zam4 zam4,吱吱浸浸
