category,char,jyutping
交通,九巴,gau2 baa1
交通,九廣鐵路,gau2 gwong2 tit3 lou6
交通,城巴,sing4 baa1
交通,新巴,san1 baa1
人名,余文樂,jyu4 man4 lok6
人名,姜濤,goeng1 tou4
人名,張天賦,zoeng1 tin1 fu3
人名,張敬軒,zoeng1 ging3 hin1
人名,李兆基,lei5 siu6 gei1
人名,李卓仁,lei5 coek3 jan4
人名,李嘉誠,lei5 gaa1 sing4
人名,李家超,lei5 gaa1 ciu1
人名,李幸倪,lei5 hang6 ngai4
人名,林家謙,lam4 gaa1 him1
人名,林智樂,lam4 zi3 lok6
人名,林鄭,lam4 zeng6
人名,林鄭月娥,lam4 zeng6 jyut6 ngo4
人名,梁振英,loeng4 zan3 jing1
人名,炎明熹,jim4 ming4 hei1
人名,范徐麗泰,faan6 ceoi4 lai6 taai3
人名,邱彥筒,jau1 jin6 tung4
人名,陳健安,can4 gin6 on1
人名,陳卓賢,can4 coek3 jin4
人名,陳柏宇,can4 paak3 jyu5
人名,陳蕾,can4 leoi4
人名,馮允謙,fung4 wan5 him1
人名,魏浚笙,ngai6 zeon3 sang1
人名,黃偉文,wong4 wai5 man4
其他,中大,zung1 daai6
其他,城大,sing4 daai6
地名,上海,soeng6 hoi2
地名,中國,zung1 gwok3
地名,北京,bak1 ging1
地名,大埔,daai6 bou3
地名,大埔仔,daai6 bou3 zai2
地名,大埔墟,daai6 bou3 heoi1
地名,大陸,daai6 luk6
地名,屯元天,tyun4 jyun4 tin1
地名,屯門,tyun4 mun4
地名,掃桿埔,sou3 gon2 bou2
地名,沙田,saa1 tin4
地名,臺灣,toi4 waan1
地名,香港,hoeng1 gong2
路名,北大嶼山公路,bak1 daai6 jyu4 saan1 gung1 lou6
路名,城門隧道,sing4 mun4 seoi6 dou6
路名,大老山隧道,daai6 lou5 saan1 seoi6 dou6
路名,將藍隧道,zoeng1 laam4 seoi6 dou6
路名,屯公,tyun4 gung1
路名,屯赤,tyun4 cek3
路名,德士古道,dak1 si6 gu2 dou6
路名,東廊,dung1 long2
路名,東隧,dung1 seoi6
路名,欖隧,laam6 seoi6
路名,汀九橋,ding1 gau2 kiu4
路名,獅隧,si1 seoi6
路名,紅隧,hung4 seoi6
路名,荔橋,lai6 kiu4
路名,西隧,sai1 seoi6
路名,青山公路,cing1 saan1 gung1 lou6
路名,青馬大橋,cing1 maa5 daai6 kiu4
路名,香港仔隧道,hoeng1 gong2 zai2 seoi6 dou6
路名,鵝頸橋,ngo4 geng2 kiu4
路名,龍翔道,lung4 coeng4 dou6
飲食,譚仔,taam5 zai2
飲食,譚仔三哥,taam5 zai2 saam1 go1
